12002-61-8;Ac2O3;Ac₂O₃;actinium(III) oxide;оксид актиния (III)
141-82-2;C3H4O4;C₃H₄O₄;malonic acid;малоновая кислота
79-06-1;C3H5NO;C₃H₅NO;acrylamide;акриламид
1820-80-0;C3H5N3;C₃H₅N₃;3-amino-1H-pyrazole;3-амино-1H-пиразол
55-63-0;C3H5N3O9;C₃H₅N₃O₉;nitroglycerine;нитроглицерин
75-19-4;C3H6;C₃H₆;cyclopropane;циклопропан
115-07-1;C3H6;C₃H₆;propylene;пропилен
109-94-4;C3H6O2;C₃H₆O₂;ethyl formate;этилформиат
79-42-5;C3H6O2S;C₃H₆O₂S;2-Mercaptopropionic acid;2-меркаптопропионовая кислота
107-96-0;C3H6O2S;C₃H₆O₂S;3-Mercaptopropionic acid;3-меркаптопропионовая кислота
503-29-7;C3H7N;C₃H₇N;azetidine;азетидин
56-41-7;C3H7NO2;C₃H₇NO₂;α-alanine;α-аланин
107-95-9;C3H7NO2;C₃H₇NO₂;β-alanine;β-аланин
52-90-4;C3H7NO2S;C₃H₇NO₂S;cysteine;цистеин
56-45-1;C3H7NO3;C₃H₇NO₃;serine;серин
74-98-6;C3H8;C₃H₈;propane;пропан
1071-83-6;C3H8NO5P;C₃H₈NO₅P;glyphosate;глифосат
71-23-8;C3H8O;C₃H₈O;propanol;пропанол
67-63-0;C3H8O;C₃H₈O;2-propanol;2-пропанол
57-55-6;C3H8O2;C₃H₈O₂;propylene glycol;пропиленгликоль
504-63-2;C3H8O2;C₃H₈O₂;1,3-propanediol;1,3-пропандиол
56-81-5;C3H8O3;C₃H₈O₃;glycerol;глицерин
108-80-5;C3N3(OH)3;C₃N₃(OH)₃;cyanuric acid;циануровая кислота
5637-83-2;C3N12;C₃N₁₂;cyanuric triazide;циануровый триазид
2927-71-1;C4HCl2FN2;C₄HCl₂FN₂;2,6-dichloro-5-fluoroacil;2,6-дихлор-5-фторацил
460-12-8;C4H2;C₄H₂;diacetylene;диацетилен
53214-97-4;C4I2;C₄I₂;diiodobutadiyne;дииодобутадин
32779-36-5;C4H2BrClN2;C₄H₂BrClN₂;5-bromo-2-chloropyrimidine;5-бром-2-хлорпиримидин
3934-20-1;C4H2Cl2N2;C₄H₂Cl₂N₂;2,4-dichloropyrimidine;2,4-дихлорпиримидин
1193-21-1;C4H2Cl2N2;C₄H₂Cl₂N₂;4,6-dichloropyrimidine;4,6-дихлорпиримидин
56-05-3;C4H3Cl2N3;C₄H₃Cl₂N₃;2-amino-4,6-dichloropyrimidine;2-амино-4,6-дихлорпиримидин
51-21-8;C4H3FN2O2;C₄H₃FN₂O₂;fluorouracil;фторурацил
2022-85-7;C4H4FN3O;C₄H₄FN₃O;flucytosine;флуцитозин
66-22-8;C4H4N2O2;C₄H₄N₂O₂;uracil;урацил
16617-46-2;C4H4N4;C₄H₄N₄;3-aminopyrazole-4-carbonitrile;3-аминопиразол-4-карбонитрил
71-30-7;C4H5N3O;C₄H₅N₃O;cytosine;цитозин
60-56-0;C4H6N2S;C₄H₆N₂S;methimazole;метимазол
1603-91-4;C4H6N2S;C₄H₆N₂S;2-amino-4-methylthiazole;2-амино-4-метилтиазол
56-06-4;C4H6N4O;C₄H₆N₄O;2,4-diamino-6-hydroxypyrimidine;2,4-диамино-6-гидроксипиримидин
110-15-6;C4H6O4;C₄H₆O₄;succinic acid;Янтарная кислота
80-58-0;C4H7BrO2;C₄H₇BrO₂;2-bromobutyric acid;2-броммасляная кислота
2623-87-2;C4H7BrO2;C₄H₇BrO₂;4-bromobutyric acid;4-броммасляная кислота
2052-01-9;C4H7BrO2;C₄H₇BrO₂;α-bromoisobutyric acid;α-бромизомасляная кислота
105-36-2;C4H7BrO2;C₄H₇BrO₂;ethyl bromoacetate;этилбромацетат
22059-21-8;C4H7NO2;C₄H₇NO₂;1-Aminocyclopropanecarboxylic acid;1-аминоциклопропанкарбоновая кислота
56-84-8;C4H7NO4;C₄H₇NO₄;aspartic acid;аспарагиновая кислота
287-23-0;C4H8;C₄H₈;cyclobutane;циклобутан
70-47-3;C4H8N2O3;C₄H₈N₂O₃;asparagine;аспарагин
109-99-9;C4H8O;C₄H₈O;tetrahydrofuran;тетрагидрофуран
56-12-2;C4H9NO2;C₄H₉NO₂;γ-aminobutyric acid;γ-аминомасляная кислота
72-19-5;C4H9NO3;C₄H₉NO₃;threonine;треонин
71-36-3;C4H9OH;C₄H₉OH;butyl alcohol;бутиловый спирт
106-97-8;C4H10;C₄H₁₀;butane;бутан
75-28-5;C4H10;C₄H₁₀;2-methylpropane;2-метилпропан
60-29-7;C4H10O;C₄H₁₀O;diethyl ether;диэтиловый эфир
4487-59-6;C5H3BrN2O2;C₅H₃BrN₂O₂;2-bromo-5-nitropyridine;2-бром-5-нитропиридин
625-92-3;C5H3Br2N;C₅H₃Br₂N;3,5-dibromopyridine;3,5-дибромпиридин
4585-45-2;C5H3ClN2O2;C₅H₃ClN₂O₂;2-chloro-5-nitropyridine;2-хлор-5-нитропиридин
87-42-3;C5H3ClN4;C₅H₃ClN₄;6-chloropurine;6-хлорпурин
59-67-6;C5H4NCOOH;C₅H₄NCOOH;niacin;ниацин
98-97-5;C5H4N2O2;C₅H₄N₂O₂;pyrazinoic acid;пиразиновая кислота
65-86-1;C5H4N2O4;C₅H₄N₂O₄;orotic acid;оротовая кислота
315-30-0;C5H4N4O;C₅H₄N₄O;allopurinol;аллопуринол
68-94-0;C5H4N4O;C₅H₄N₄O;hypoxanthine;гипоксантин
69-89-6;C5H4N4O2;C₅H₄N₄O₂;xanthine;ксантин
50-44-2;C5H4N4S;C₅H₄N₄S;mercaptopurine;меркаптопурин
88-13-1;C5H4O2S;C₅H₄O₂S;b-thiophenic acid;b-тиофеновая кислота
1072-97-5;C5H5BrN2;C₅H₅BrN₂;2-amino-5-bromopyridine;2-амино-5-бромпиридин
19798-80-2;C5H5ClN2;C₅H₅ClN₂;2-amino-4-chloropyridine;2-амино-4-хлорпиридин
1072-98-6;C5H5ClN2;C₅H₅ClN₂;2-amino-5-chloropyridine;2-амино-5-хлорпиридин
14432-12-3;C5H5ClN2;C₅H₅ClN₂;4-amino-2-chloropyridine;4-амино-2-хлорпиридин
20511-12-0;C5H5IN2;C₅H₅IN₂;2-amino-5-iodopyridine;2-амино-5-йодпиридин
110-86-1;C5H5N;C₅H₅N;pyridine;пиридин
142-08-5;C5H5NO;C₅H₅NO;2-pyridone;2-пиридон
109-00-2;C5H5NO;C₅H₅NO;3-pyridinol;3-пиридинол
98-96-4;C5H5N3O;C₅H₅N₃O;pyrazinamide;пиразинамид
4214-76-0;C5H5N3O2;C₅H₅N₃O₂;2-amino-nitropyridine;2-амино-нитропиридин
73-24-5;C5H5N5;C₅H₅N₅;adenine;аденин
73-40-5;C5H5N5O;C₅H₅N₅O;guanine;гуанин
1692-25-7;C5H6BNO2;C₅H₆BNO₂;3-pyridinylboronic acid;3-пиридинилбороновая кислота
504-29-0;C5H6N2;C₅H₆N₂;2-aminopyridine;2-аминопиридин
504-24-5;C5H6N2;C₅H₆N₂;4-aminopyridine;4-аминопиридин
56-04-2;C5H6N2OS;C₅H₆N₂OS;methylthiouracil;метилтиоурацил
65-71-4;C5H6N2O2;C₅H₆N₂O₂;thymine;тимин
328-50-7;C5H6O5;C₅H₆O₅;α-Ketoglutaric acid;α-кетоглутаровая кислота
54-96-6;C5H7N3;C₅H₇N₃;3,4-diaminopyridine;3,4-диаминопиридин
147-85-3;C5H9NO2;C₅H₉NO₂;proline;пролин
56-86-0;C5H9NO4;C₅H₉NO₄;glutamic acid;глютаминовая кислота
287-92-3;C5H10;C₅H₁₀;cyclopentane;циклопентан
56-85-9;C5H10N2O3;C₅H₁₀N₂O₃;glutamine;глютамин
533-67-5;C5H10O4;C₅H₁₀O₄;deoxyribose;дезоксирибоза
660-88-8;C5H11NO2;C₅H₁₁NO₂;valine;валин
25343-91-3;C5H11NO2S;C₅H₁₁NO₂S;methionine;метионин
109-66-0;C5H12;C₅H₁₂;pentane;пентан
602-94-8;C6F5COOH;C₆F₅COOH;pentafluorobenzoic acid;пентафторбензойная кислота
20826-04-4;C6H4BrNO2;C₆H₄BrNO₂;5-bromonicotinic acid;5-бромникотиновая кислота
2942-59-8;C6H4ClNO2;C₆H₄ClNO₂;2-chloronicotinic acid;2-хлорникотиновая кислота
3680-69-1;C6H4ClN3;C₆H₄ClN₃;6-chloro-7-dezapurine;6-хлор-7-дезапурин
4684-94-0;C6H4ClNO2;C₆H₄ClNO₂;6-chloro-2-pyridinecarboxylic acid;6-хлор-2-пиридинкарбоновая кислота
5326-23-8;C6H4ClNO2;C₆H₄ClNO₂;6-chloronicotinic acid;6-хлорникотиновая кислота
583-63-1;C6H4O2;C₆H₄O₂;orthobenzoquinone;ортобензохинон
106-51-4;C6H4O2;C₆H₄O₂;parabenzoquinone;парабензохинон
100-52-7;C6H5CHO;C₆H₅CHO;benzaldehyde;бензальдегид
100-51-6;C6H5CH2OH;C₆H₅CH₂OH;benzyl alcohol;бензиловый спирт
98-88-4;C6H5COCl;C₆H₅COCl;benzoyl chloride;бензоилхлорид
766-76-7;C6H5COO⁻;C₆H₅COO⁻;benzoate ion;ион бензоата
462-06-6;C6H5F;C₆H₅F;fluorobenzene;фторбензол
98-98-6;C6H5NO2;C₆H₅NO₂;picolinic acid;пиколиновая кислота
100-02-7;C6H5NO3;C₆H₅NO₃;4-nitrophenol;4-нитрофенол
5006-66-6;C6H5NO3;C₆H₅NO₃;6-hydroxyniacin;6-гидроксиниацин
126-44-3;C6H5O73⁻;C₆H₅O₇₃⁻;citrate ion;цитрат-ион
1048-05-1;(C6H5)4Ge;(C₆H₅)₄Ge;tetraphenylgermane;тетрафенилгерман
71-43-2;C6H6;C₆H₆;benzene;бензол
1679-18-1;C6H6BClO2;C₆H₆BClO₂;4-chlorophenylboronic acid;4-хлорфенилбороновая кислота
1765-93-1;C6H6BFO2;C₆H₆BFO₂;4-fluorophenylboronic acid;4-фторфенилборная кислота
540-37-4;C6H6IN;C₆H₆IN;4-iodoaniline;4-йоданилин
98-92-0;C6H6N2O;C₆H₆N₂O;nicotinamide;никотинамид
3167-49-5;C6H6N2O2;C₆H₆N₂O₂;6-aminonicotinic acid;6-аминоникотиновая кислота
108-95-2;C6H6O;C₆H₆O;phenol;фенол
120-80-9;C6H6O2;C₆H₆O₂;catechol;катехин
123-31-9;C6H6O2;C₆H₆O₂;hydroquinone;гидрохинон
108-46-3;C6H6O2;C₆H₆O₂;resorcinol;резорцин
67-47-0;C6H6O3;C₆H₆O₃;hydroxymethylfurfural;гидроксиметилфурфурол
98-80-6;C6H7BO2;C₆H₇BO₂;phenylboronic acid;фенилборная кислота
54-85-3;C6H7N3O;C₆H₇N₃O;isoniazid;изониазид
1603-40-3;C6H8N2;C₆H₈N₂;2-amino-3-methylpyridine;2-амино-3-метилпиридин
695-34-1;C6H8N2;C₆H₈N₂;2-amino-4-methylpyridine;2-амино-4-метилпиридин
1603-41-4;C6H8N2;C₆H₈N₂;2-amino-5-methylpyridine;2-амино-5-метилпиридин
1824-81-3;C6H8N2;C₆H₈N₂;2-amino-6-methylpyridine;2-амино-6-метилпиридин
5398-36-7;C6H8N2O2S;C₆H₈N₂O₂S;ethyl 2-aminothiazole-4-carboxylate;этил 2-аминотиазол-4-карбоксилат
63-74-1;C6H8N2O2S;C₆H₈N₂O₂S;sulfanilamide;сульфаниламид
77-92-9;C6H8O7;C₆H₈O₇;citric acid;лимонная кислота
71-00-1;C6H9N3O2;C₆H₉N₃O₂;histidine;гистидин
6994-25-8;C6H9N3O2;C₆H₉N₃O₂;ethyl 5-amino-1H-pyrazole-4-carboxylate;этил 5-амино-1H-пиразол-4-карбоксилат
443-48-1;C6H9N3O3;C₆H₉N₃O₃;metronidazole;метронидазол
3128-06-1;C6H10O3;C₆H₁₀O₃;4-acetylbutyric acid;4-ацетилмасляная кислота
6295-06-3;C6H10O3;C₆H₁₀O₃;butyl glyoxylate;бутилглиоксилат
141-97-9;C6H10O3;C₆H₁₀O₃;ethyl acetoacetate;этиловый эфир ацетоацетата
25584-83-2;C6H10O3;C₆H₁₀O₃;2-hydroxypropyl acrylate;2-гидроксипропилакрилат
599-04-2;C6H10O3;C₆H₁₀O₃;pantolactone;пантолактон
20279-43-0;C6H10O3;C₆H₁₀O₃;propyl pyruvate;пропилпируват
52-52-8;C6H11NO2;C₆H₁₁NO₂;cycloleucine;циклолейцин
3105-95-1;C6H11NO2;C₆H₁₁NO₂;pipecolic acid;пипеколиновая кислота
110-82-7;C6H12;C₆H₁₂;cyclohexane;циклогексан
7660-25-5;C6H12O6;C₆H₁₂O₆;fructose;фруктоза
50-99-7;C6H12O6;C₆H₁₂O₆;glucose;глюкоза
1119-29-5;C6H13NO;C₆H₁₃NO;N-ethylmorpholine;N-этилморфолин
60-32-2;C6H13NO2;C₆H₁₃NO₂;aminocaproic acid;аминокапроновая кислота
73-32-5;C6H13NO2;C₆H₁₃NO₂;isoleucine;изолейцин
61-90-5;C6H13NO2;C₆H₁₃NO₂;leucine;лейцин
110-54-3;C6H14;C₆H₁₄;hexane;гексан
56-87-1;C6H14N2O2;C₆H₁₄N₂O₂;lysine;лизин
74-79-3;C6H14N4O2;C₆H₁₄N₄O₂;arginine;аргинин
445-29-4;C7H5FO2;C₇H₅FO₂;2-fluorobenzoic acid;2-фторбензойная кислота
456-22-4;C7H5FO2;C₇H₅FO₂;4-fluorobenzoic acid;4-фторбензойная кислота
89-00-9;C7H5NO4;C₇H₅NO₄;quinolinic acid;хинолиновая кислота
499-83-2;C7H5NO4;C₇H₅NO₄;dipicolinic acid;дипиколиновая кислота
149-30-4;C7H5NS2;C₇H₅NS₂;2-mercaptobenzothiazole;2-меркаптобензотиазол
2942-42-9;C7H5N3O2;C₇H₅N₃O₂;7-nitroindazole;7-нитроиндазол
271-23-6;C7H6N2;C₇H₆N₂;7-azaindole;7-азаиндол
65-85-0;C7H6O2;C₇H₆O₂;benzoic acid;бензойная кислота
123-08-0;C7H6O2;C₇H₆O₂;4-hydroxybenzaldehyde;4-гидроксибензальдегид
69-72-7;C7H6O3;C₇H₆O₃;salicylic acid;салициловая кислота
99-96-7;C7H6O3;C₇H₆O₃;4-hydroxybenzoic acid;4-гидроксибензойная кислота
99-50-3;C7H6O4;C₇H₆O₄;protocatechuic acid;протокатеховая кислота
303-38-8;C7H6O4;C₇H₆O₄;2,3-dihydroxybenzoic acid;2,3-дигидроксибензойная кислота
149-91-7;C7H6O5;C₇H₆O₅;gallic acid;галловая кислота
14047-29-1;C7H7BO4;C₇H₇BO₄;4-carboxyphenylboronic acid;4-карбоксифенилбороновая кислота
150-13-0;C7H7NO2;C₇H₇NO₂;4-aminobenzoic acid;4-аминобензойная кислота
89-57-6;C7H7NO3;C₇H₇NO₃;mesalazine;месалазин
934-32-7;C7H7N3;C₇H₇N₃;benomyl metabolite;метаболит беномила
108-88-3;C7H8;C₇H₈;toluene;толуол
58-93-5;C7H8ClN3O4S2;C₇H₈ClN₃O₄S₂;hydrochlorothiazide;гидрохлоротиазид
58-55-9;C7H8N4O2;C₇H₈N₄O₂;theophylline;теофиллин
5720-05-8;C7H9BO2;C₇H₉BO₂;4-methylphenylboronic acid;4-метилфенилбороновая кислота
5720-07-0;C7H9BO3;C₇H₉BO₃;4-boronoanisole;4-бороноанизол
1122-58-3;C7H10N2;C₇H₁₀N₂;4-dimethylaminopyridine;4-диметиламинопиридин
142-82-5;C7H16;C₇H₁₆;heptane;гептан
1744-22-5;C8H5F3N2OS;C₈H₅F₃N₂OS;riluzole;рилузол
91-56-5;C8H5NO2;C₈H₅NO₂;isatin;изатин
10075-50-0;C8H6BrN;C₈H₆BrN;5-bromoindole;5-броминдол
52415-29-9;C8H6BrN;C₈H₆BrN;6-bromoindole;6-броминдол
25235-85-2;C8H6ClN;C₈H₆ClN;4-chloroindole;4-хлориндол
94-75-7;C8H6Cl2O3;C₈H₆Cl₂O₃;2,4-dichlorophenoxyacetic acid;2,4-дихлорфеноксиуксусная кислота
491-36-1;C8H6N2O;C₈H₆N₂O;4-quinazolinol;4-хиназолинол
4498-67-3;C8H6N2O2;C₈H₆N₂O₂;indazolium-3-carboxylate;индазолий-3-карбоксилат
120-72-9;C8H7N;C₈H₇N;indole;индол
2380-94-1;C8H7NO;C₈H₇NO;indol-4-ol;индол-4-ол
59-48-3;C8H7NO;C₈H₇NO;oxindole;оксиндол
1953-54-4;C8H7NO;C₈H₇NO;5-hydroxyindole;5-гидроксииндол
277-10-1;C8H8;C₈H₈;cubane;кубинский
1747-60-0;C8H8N2OS;C₈H₈N₂OS;2-amino-6-methoxybenzothiazole;2-амино-6-метоксибензотиазол
156-38-7;C8H8O3;C₈H₈O₃;4-hydroxyphenylacetic acid;4-гидроксифенилуксусная кислота
621-59-0;C8H8O3;C₈H₈O₃;isovanillin;изованилин
121-34-6;C8H8O4;C₈H₈O₄;vanillic acid;ванилиновая кислота
103-90-2;C8H9NO2;C₈H₉NO₂;acetaminophen;ацетаминофен
56-91-7;C8H9NO2;C₈H₉NO₂;aminomethylbenzoic acid;аминометилбензойная кислота
34199-35-4;C8H9NO2;C₈H₉NO₂;hydroxydanaidal;гидроксиданоидный
134-20-3;C8H9NO2;C₈H₉NO₂;methyl anthranilate;метилантранилат
58-08-2;C8H10N4O2;C₈H₁₀N₄O₂;caffeine;кофеин
51-67-2;C8H11NO;C₈H₁₁NO;tyramine;тирамин
59277-89-3;C8H11N5O3;C₈H₁₁N₅O₃;aciclovir;ацикловир
111-65-9;C8H18;C₈H₁₈;octane;октановое число
1532-97-4;C9H6BrN;C₉H₆BrN;4-bromoisoquinoline;4-бромизохинолин
15861-24-2;C9H6N2;C₉H₆N₂;5-cyanoindole;5-цианоиндол
93-35-6;C9H6O3;C₉H₆O₃;umbelliferone;зонтик
491-39-4;C9H6OS;C₉H₆OS;thiochromone;тиохромон
148-24-3;C9H7NO;C₉H₇NO;8-hydroxyquinoline;8-гидроксихинолин
487-89-8;C9H7NO;C₉H₇NO;indole-3-carboxaldehyde;индол-3-карбоксальдегид
1477-50-5;C9H7NO2;C₉H₇NO₂;indole-2-carboxylic acid;индол-2-карбоновая кислота
771-50-6;C9H7NO2;C₉H₇NO₂;indole-3-carboxylic acid;индол-3-карбоновая кислота
1125-60-6;C9H8N2;C₉H₈N₂;5-aminoisoquinoline;5-аминоизохинолин
611-34-7;C9H8N2;C₉H₈N₂;5-aminoquinoline;5-аминохинолин
580-15-4;C9H8N2;C₉H₈N₂;6-aminoquinoline;6-аминохинолин
578-66-5;C9H8N2;C₉H₈N₂;8-aminoquinoline;8-аминохинолин
140-10-3;C9H8O2;C₉H₈O₂;cinnamic acid;коричная кислота
614-60-8;C9H8O3;C₉H₈O₃;o-coumaric acid;о-кумаровая кислота
621-54-5;C9H8O3;C₉H₈O₃;m-coumaric acid;м-кумаровая кислота
7400-08-0;C9H8O3;C₉H₈O₃;p-coumaric acid;р-кумаровая кислота
50-78-2;C9H8O4;C₉H₈O₄;aspirin;аспирин
331-39-5;C9H8O4;C₉H₈O₄;caffeic acid;кофейная кислота
95-20-5;C9H9N;C₉H₉N;methylketol;метилкетол
83-34-1;C9H9N;C₉H₉N;skatole;скатоле
4837-90-5;C9H9NO;C₉H₉NO;4-methoxyindole;4-метоксииндол
1006-94-6;C9H9NO;C₉H₉NO;5-methoxyindole;5-метоксииндол
3189-13-7;C9H9NO;C₉H₉NO;6-methoxyindole;6-метоксииндол
700-06-1;C9H9NO;C₉H₉NO;indole-3-carbinol;индол-3-карбинол
495-69-2;C9H9NO3;C₉H₉NO₃;hippuric acid;гиппуровая кислота
552-41-0;C9H10O3;C₉H₁₀O₃;paeonol;пеонол
63-91-2;C9H11NO2;C₉H₁₁NO₂;L-Phenylalanine;L-фениланин
150-30-1;C9H11NO2;C₉H₁₁NO₂;DL-Phenylalanine;DL-фениланин
104-54-1;C9H10O;C₉H₁₀O;cinnamyl alcohol;коричный спирт
31330-59-3;C9H11NO3;C₉H₁₁NO₃;tyrosine;тирозин
59-92-7;C9H11NO4;C₉H₁₁NO₄;L-DOPA;L-ДОФА
60142-96-3;C9H17NO2;C₉H₁₇NO₂;gabapentin;габапентин
57260-71-6;C9H18N2O2;C₉H₁₈N₂O₂;1-boc-piperazine;1-boc-пиперазин
111-84-2;C9H20;C₉H₂0;nonane;нонан
93-10-7;C10H7NO2;C₁₀H₇NO₂;quinaldic acid;хинальдиновая кислота
275-51-4;C10H8;C₁₀H₈;azulene;азулен
91-20-3;C10H8;C₁₀H₈;naphthalene;нафталин
90-33-5;C10H8O3;C₁₀H₈O₃;hymecromone;гимекромон
87-51-4;C10H9NO2;C₁₀H₉NO₂;indole-3-acetic acid;индол-3-уксусная кислота
525-79-1;C10H9N5O;C₁₀H₉N₅O;kinetin;кинетин
10601-19-1;C10H9NO2;C₁₀H₉NO₂;5-methoxyindole-3-carboxaldehyde;5-метоксииндол-3-карбоксальдегид
89-25-8;C10H10N2O;C₁₀H₁₀N₂O;edaravone;Эдаравон
1135-24-6;C10H10O4;C₁₀H₁₀O₄;ferulic acid;феруловая кислота
723-46-6;C10H11N3O3S;C₁₀H₁₁N₃O₃S;sulfamethoxazole;сульфаметоксазол
61-54-1;C10H12N2;C₁₀H₁₂N₂;tryptamine;триптамин
58-61-7;C10H13N5O4;C₁₀H₁₃N₅O₄;adenosine;аденозин
8008-79-5;C10H14O;C₁₀H₁₄O;mentha spicata herb oil;масло травы мяты spicata
56370-30-0;C10H15ON;C₁₀H₁₅ON;ephedrine;эфедрин
76-22-2;C10H16O;C₁₀H₁₆O;camphor;камфора
79099-07-3;C10H17NO3;C₁₀H₁₇NO₃;boc-4-piperidone;boc-4-пиперидон
109384-19-2;C10H19NO3;C₁₀H₁₉NO₃;1-boc-4-piperidinol;1-бок-4-пиперидинол
87120-72-7;C10H20N2O2;C₁₀H₂0N₂O₂;boc-4-aminopiperidine;boc-4-аминопиперидин
124-18-5;C10H22;C₁₀H₂₂;decane;деканировать
58-27-5;C11H8O2;C₁₁H₈O₂;menadione;менадионе
830-96-6;C11H11NO2;C₁₁H₁₁NO₂;3-indolepropionic acid;3-индолпропионовая кислота
73-22-3;C11H12N2O2;C₁₁H₁₂N₂O₂;tryptophan;триптофан
608-07-1;C11H14N2O;C₁₁H₁₄N₂O;5-methoxytryptamine;5-метокситриптамин
84358-13-4;C11H19NO4;C₁₁H₁₉NO₄;boc-isonipecotic acid;boc-изонипекотиновая кислота
1120-21-4;C11H24;C₁₁H₂₄;undecane;недекан
1518-16-7;C12H4N4;C₁₂H₄N₄;tetracyanoquinodimethane;тетрацианохинодиметан
298-81-7;C12H8O4;C₁₂H₈O₄;methoxsalen;метоксален
92-52-4;C12H10;C₁₂H₁₀;biphenyl;бифенил
54-31-9;C12H10ClN2O5S;C₁₂H₁₀ClN₂O₅S;furosemide;фуросемид
1214-39-7;C12H11N5;C₁₂H₁₁N₅;6-benzylaminopurine;6-бензиламинопурин
396-01-0;C12H11N7;C₁₂H₁₁N₇;triamterene;триамтерен
133-32-4;C12H13NO2;C₁₂H₁₃NO₂;indole-3-butyric acid;индол-3-масляная кислота
3612-20-2;C12H15NO;C₁₂H₁₅NO;1-benzyl-4-piperidone;1-бензил-4-пиперидон
61-50-7;C12H16N2;C₁₂H₁₆N₂;N,N-Dimethyltryptamine;N,N-диметилтриптамин
497-76-7;C12H16O7;C₁₂H₁₆O₇;arbutin;арбутин
2078-54-8;C12H18O;C₁₂H₁₈O;propofol;пропофол
69-79-4;C12H22O11;C₁₂H₂₂O₁₁;maltose;мальтоза
57-50-1;C12H22O11;C₁₂H₂₂O₁₁;sucrose;сахароза
112-40-3;C12H26;C₁₂H₂₆;dodecane;додекан
119-61-9;C13H10O;C₁₃H₁₀O;benzophenone;бензофенон
86386-73-4;C13H12F2N6O;C₁₃H₁₂F₂N₆O;fluconazole;флуконазол
2484-16-4;C13H12O;C₁₃H₁₂O;β-ionone;β-ионон
103-16-2;C13H12O2;C₁₃H₁₂O₂;monobenzone;монобензон
73-31-4;C13H16N2O2;C₁₃H₁₆N₂O₂;melatonin;мелатонин
15687-27-1;C13H18O2;C₁₃H₁₈O₂;ibuprofen;ибупрофен
629-50-5;C13H28;C₁₃H₂₈;tridecane;тридекан
120-12-7;C14H10;C₁₄H₁₀;anthracene;антрацен
85-01-8;C14H10;C₁₄H₁₀;phenanthrene;фенантрен
94-36-0;C14H10O14;C₁₄H₁₀O₁₄;benzoyl peroxide;перекись бензоила
501-36-0;C14H12O3;C₁₄H₁₂O₃;resveratrol;ресвератрол
81-14-1;C14H18N2O5;C₁₄H₁₈N₂O₅;aspartame;аспартам
738-70-5;C14H18N4O3;C₁₄H₁₈N₄O₃;trimethoprim;триметоприм
629-59-4;C14H30;C₁₄H₃0;tetradecane;тетрадекан
486-66-8;C15H10O4;C₁₅H₁₀O₄;daidzein;дайдзейн
520-36-5;C15H10O5;C₁₅H₁₀O₅;apigenin;апигенин
518-82-1;C15H10O5;C₁₅H₁₀O₅;emodin;эмодин
446-72-0;C15H10O5;C₁₅H₁₀O₅;genistein;генистеин
491-70-3;C15H10O6;C₁₅H₁₀O₆;luteolin;лютеолин
117-39-5;C15H10O7;C₁₅H₁₀O₇;quercetin;кверцетин
298-46-4;C15H12N2O;C₁₅H₁₂N₂O;carbamazepine;карбамазепин
57-41-0;C15H12N2O2;C₁₅H₁₂N₂O₂;phenytoin;фенитоин
629-62-9;C15H32;C₁₅H₃₂;pentadecane;пентадекан
70020-71-2;C16H28N2O6Zn;C₁₆H₂₈N₂O₆Zn;zinc acexamate;ацексамат цинка
544-76-3;C16H34;C₁₆H₃₄;hexadecane;гексадекан
169590-42-5;C17H14F3N3O2S;C₁₇H₁₄F₃N₃O₂S;celecoxib;целекоксиб
21829-25-4;C17H18N2O6;C₁₇H₁₈N₂O₆;nifedipine;нифедипин
73590-58-6;C17H19N3O3S;C₁₇H₁₉N₃O₃S;omeprazole;омепразол
50-36-2 53-21-4;C17H21NO4;C₁₇H₂₁NO₄;cocaine;кокаин
629-78-7;C17H36;C₁₇H₃₆;heptadecane;гептадекан
404-86-4;C18H27NO3;C₁₈H₂₇NO₃;capsaicin;капсаицин
60-33-3;C18H32O2;C₁₈H₃₂O₂;linoleic acid;линолевая кислота
57-11-4;C18H36O2;C₁₈H₃₆O₂;stearic acid;стеариновая кислота
593-45-3;C18H38;C₁₈H₃₈;octadecane;октадекан
53-86-1;C19H16ClNO4;C₁₉H₁₆ClNO₄;indometacin;индометацин
629-92-5;C19H40;C₁₉H₄0;nonadecane;нонадекан
130-95-0;C20H24O2N2;C₂0H₂₄O₂N₂;quinine;хинин
302-79-4;C20H28O2;C₂0H₂₈O₂;tretinoin;третиноин
112-95-8;C20H42;C₂0H₄₂;eicosane;эйкозан
31416-98-5;C21H36N7O16P3S;C₂₁H₃₆N₇O₁₆P₃S;Coenzyme A;Коэнзим А
1972-08-3;C21H30O2;C₂₁H₃0O₂;tetrahydrocannabinol;тетрагидроканнабинол
79794-75-5;C22H23ClN2O2;C₂₂H₂₃ClN₂O₂;loratadine;лоратадин
59392-53-9;C164H256Na2O68S2;C₁₆₄H₂₅₆Na₂O₆₈S₂;maitotoxin;майтотоксин
12042-68-1;CaAl2O4;CaAl₂O₄;calcium aluminate;алюминат кальция
12007-99-7;CaB6;CaB₆;calcium boride;борид кальция
7789-41-5;CaBr2;CaBr₂;calcium bromide;бромид кальция
10102-75-7;Ca(BrO3)2;Ca(BrO₃)₂;calcium bromate;бромат кальция
592-01-8;Ca(CN)2;Ca(CN)₂;calcium cyanide;цианистый кальций
471-34-1;CaCO3;CaCO₃;calcium carbonate;карбонат кальция
75-20-7;CaC2;CaC₂;calcium carbide;карбид кальция
